country_id,country,country_type,year,population,gdp,gdp_per_capita,online_purchase_pct,international_tourism_revenue,source_population,source_population_url,source_gdp,source_gdp_url,source_gdp_per_capita,source_gdp_per_capita_url,source_online_purchase,source_online_purchase_url,source_tourism,source_tourism_url
CZE,Czech Republic,target,2018,10550000,189100000000,23706,59,6900000000,World Bank – World Development Indicators,https://data.worldbank.org/indicator/SP.POP.TOTL,World Bank – World Development Indicators,https://data.worldbank.org/indicator/NY.GDP.MKTP.CD,World Bank – World Development Indicators,https://data.worldbank.org/indicator/NY.GDP.PCAP.CD,Eurostat – E-commerce statistics for individuals,https://ec.europa.eu/eurostat/statistics-explained/index.php?title=E-commerce_statistics_for_individuals,World Bank / UN Tourism – International tourism receipts,https://data.worldbank.org/indicator/ST.INT.RCPT.CD
PRT,Portugal,target,2018,10280000,242100000000,23541,37,24400000000,World Bank – World Development Indicators,https://data.worldbank.org/indicator/SP.POP.TOTL,World Bank – World Development Indicators,https://data.worldbank.org/indicator/NY.GDP.MKTP.CD,World Bank – World Development Indicators,https://data.worldbank.org/indicator/NY.GDP.PCAP.CD,Eurostat – E-commerce statistics for individuals,https://ec.europa.eu/eurostat/statistics-explained/index.php?title=E-commerce_statistics_for_individuals,World Bank / UN Tourism – International tourism receipts,https://data.worldbank.org/indicator/ST.INT.RCPT.CD
NOR,Norway,target,2018,5310000,439800000000,82793,79,5700000000,World Bank – World Development Indicators,https://data.worldbank.org/indicator/SP.POP.TOTL,World Bank – World Development Indicators,https://data.worldbank.org/indicator/NY.GDP.MKTP.CD,World Bank – World Development Indicators,https://data.worldbank.org/indicator/NY.GDP.PCAP.CD,Eurostat – E-commerce statistics for individuals,https://ec.europa.eu/eurostat/statistics-explained/index.php?title=E-commerce_statistics_for_individuals,World Bank / UN Tourism – International tourism receipts,https://data.worldbank.org/indicator/ST.INT.RCPT.CD
POL,Poland,target,2018,38000000,594600000000,15658,56,15600000000,World Bank – World Development Indicators,https://data.worldbank.org/indicator/SP.POP.TOTL,World Bank – World Development Indicators,https://data.worldbank.org/indicator/NY.GDP.MKTP.CD,World Bank – World Development Indicators,https://data.worldbank.org/indicator/NY.GDP.PCAP.CD,Eurostat – E-commerce statistics for individuals,https://ec.europa.eu/eurostat/statistics-explained/index.php?title=E-commerce_statistics_for_individuals,World Bank / UN Tourism – International tourism receipts,https://data.worldbank.org/indicator/ST.INT.RCPT.CD
BEL,Belgium,reference,2018,11430000,542600000000,47487,61,10300000000,World Bank – World Development Indicators,https://data.worldbank.org/indicator/SP.POP.TOTL,World Bank – World Development Indicators,https://data.worldbank.org/indicator/NY.GDP.MKTP.CD,World Bank – World Development Indicators,https://data.worldbank.org/indicator/NY.GDP.PCAP.CD,Eurostat – E-commerce statistics for individuals,https://ec.europa.eu/eurostat/statistics-explained/index.php?title=E-commerce_statistics_for_individuals,World Bank / UN Tourism – International tourism receipts,https://data.worldbank.org/indicator/ST.INT.RCPT.CD
AUT,Austria,reference,2018,8640000,379500000000,51194,60,23000000000,World Bank – World Development Indicators,https://data.worldbank.org/indicator/SP.POP.TOTL,World Bank – World Development Indicators,https://data.worldbank.org/indicator/NY.GDP.MKTP.CD,World Bank – World Development Indicators,https://data.worldbank.org/indicator/NY.GDP.PCAP.CD,Eurostat – E-commerce statistics for individuals,https://ec.europa.eu/eurostat/statistics-explained/index.php?title=E-commerce_statistics_for_individuals,World Bank / UN Tourism – International tourism receipts,https://data.worldbank.org/indicator/ST.INT.RCPT.CD
ESP,spain,reference,2018,46660000,143160000000,30602,53,81400000000,World Bank – World Development Indicators,https://data.worldbank.org/indicator/SP.POP.TOTL,World Bank – World Development Indicators,https://data.worldbank.org/indicator/NY.GDP.MKTP.CD,World Bank – World Development Indicators,https://data.worldbank.org/indicator/NY.GDP.PCAP.CD,Eurostat – E-commerce statistics for individuals,https://ec.europa.eu/eurostat/statistics-explained/index.php?title=E-commerce_statistics_for_individuals,World Bank / UN Tourism – International tourism receipts,https://data.worldbank.org/indicator/ST.INT.RCPT.CD
FIN,Finland,reference,2018,5520000,273900000000,49654,70,3600000000,World Bank – World Development Indicators,https://data.worldbank.org/indicator/SP.POP.TOTL,World Bank – World Development Indicators,https://data.worldbank.org/indicator/NY.GDP.MKTP.CD,World Bank – World Development Indicators,https://data.worldbank.org/indicator/NY.GDP.PCAP.CD,Eurostat – E-commerce statistics for individuals,https://ec.europa.eu/eurostat/statistics-explained/index.php?title=E-commerce_statistics_for_individuals,World Bank / UN Tourism – International tourism receipts,https://data.worldbank.org/indicator/ST.INT.RCPT.CD
DNK,Denmark,reference,2018,5790000,355300000000,61325,84,9100000000,World Bank – World Development Indicators,https://data.worldbank.org/indicator/SP.POP.TOTL,World Bank – World Development Indicators,https://data.worldbank.org/indicator/NY.GDP.MKTP.CD,World Bank – World Development Indicators,https://data.worldbank.org/indicator/NY.GDP.PCAP.CD,Eurostat – E-commerce statistics for individuals,https://ec.europa.eu/eurostat/statistics-explained/index.php?title=E-commerce_statistics_for_individuals,World Bank / UN Tourism – International tourism receipts,https://data.worldbank.org/indicator/ST.INT.RCPT.CD
CAN,Canada,reference,2018,37100000,1725300000000,46539,77,21900000000,World Bank – World Development Indicators,https://data.worldbank.org/indicator/SP.POP.TOTL,World Bank – World Development Indicators,https://data.worldbank.org/indicator/NY.GDP.MKTP.CD,World Bank – World Development Indicators,https://data.worldbank.org/indicator/NY.GDP.PCAP.CD,Eurostat – E-commerce statistics for individuals,https://ec.europa.eu/eurostat/statistics-explained/index.php?title=E-commerce_statistics_for_individuals,World Bank / UN Tourism – International tourism receipts,https://data.worldbank.org/indicator/ST.INT.RCPT.CD
